review_date,review_title,review_comment,review_rating
22 May 2012,Zuckerberg the Great?,I had to go into this with a grain of salt The Facebook phenomenon is quite amazing and has made changes to our society that we will be dealing with for decades That said I don t put Zuckerberg in the same room with Thomas Edison The fact is that if Facebook had never been created the world would have gone on just fine Perhaps it would be a better more humane world One where people don t spend their lives producing tons of personal garbage that is really of no interest The word friend has taken on a whole new meaning It sounds then that because of personal bias I wouldn t like the movie I did It s intriguing to watch this twerp hit all the right notes and put into action the phenomenon that has taken place I really felt like I was in the room with these guys that I participated in their discoveries and plans Jesse Eisenberg is so believable that whenever I see Zuckerberg on television I think Wow he looks a lot like Jesse Eisenberg I can t buy the criticism that this movie is exploitative If this story was going to be told it had to be told now because the events are as fleeting as that computer you bought last week It helped me to understand what went on I recently saw Mark Zuckerberg bemoaning the failures of our schools I think that he and his ilk are as much responsible as any poor teacher or principal The numbing of America or world isn t helping much But this film allows us to have a view of it s potential undoing,9
20 April 2011,Does greed overshadow better judgment?,I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,8
2 October 2010,You don't get to 500 million friends without making a few enemies.,On a fall night in 2003 Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea In a fury of blogging and programming what begins in his dorm room soon becomes a global social network and a revolution in communication A mere six years and 500 million friends later Mark Zuckerberg is the youngest billionaire in history but for this entrepreneur success leads to both personal and legal complications Sony Pictures THE SOCIAL NETWORK is not about Facebook It s about Mark Zuckerberg and the people associated with him and the consequences that arise with the evolution of Facebook In an even broader sense it s about friends being driven apart due to money and betrayal Because of this it s no surprise that many have already compared this to CITIZEN KANE And it s not just the similarities in themes that are astounding it s the quality as well What makes THE SOCIAL NETWORK so good is the masterfully written script by Aaron Sorkin The film is filled with impeccable dialog that just sucks you in It would be no surprise if the film won an Oscar for Best Adapted Screenplay Director David Fincher also does a great job keeping the audience captivated through and through with a consistently fast pace Really you ll probably be drawn to the film s opening argument between two characters than any other scene this year All right I m exaggerating but you get the point It s not Fincher s best work but it s in the top 3 Jesse Eisenberg and co star Andrew Garfield are the driving force behind this film Eisenberg does a terrific job delivering the lines as he did while Garfield brings in an emotional aspect to the film Although both are quite excellent Garfield s performance is Oscar worthy Rooney Mara is quickly getting up the ladder after having last seen her in the remake of A NIGHTMARE ON ELM STREET in the beginning of the year She s just in a few scenes but she s great in them I would have like to see her more in the film though Apparently Armie Hammer played two characters as twins in the film which really blew me away when I found out because I thought they were two different actors He really distinguished the characters really well Oh and if you re worried about Justin Timberlake don t be He s really good in here I also loved Rashida Jones in the few scenes she was in With terrific performances from the cast all around a brilliant script some fine directing by Fincher and an engaging score by Trent Reznor it should be no surprise that THE SOCIAL NETWORK succeeded the way it did Although it s a 2 hour dialog driven film it absolutely engrossing to watch If anything this is probably the closest modern version of CITIZEN KANE that we will ever get in a long time THE SOCIAL NETWORK is easily one of the best films of the year,10
9 October 2010,Revolutionary for our time,When I first heard that David Fincher was making a film about the networking site Facebook I was definitely very skeptical Well there was no need to be Fincher took Aaron Sorkin s brilliantly clever screenplay and turned it into a film that highlights the best and worst moments of out technology based life The Social Network s first scene is brilliantly written and acted and it sets the mood that both Fincher and Sorkin want to set for the rest of the film The film is seen as the advancement of how Mark Zuckerberg got his world famous website started Now I know that a lot of the film was exaggerated or fictional but it does not matter Sorkin and Fincher have brought us this really interesting character who is brilliantly played by Jesse Eisenberg Eisenberg is one of the best young actors in this time and while he has mostly done comedy until now his role demands much more attention to subtlety and character nuances to move along Last year Eisenberg showed us that he could create some of the most likable characters in films like Zombieland and Adventureland and this year he proves to us that he can actually create a very flawed and condescending but still sympathetic character that we may or may not end up hating This was credit to his real talent Andrew Garfield was also pretty much equal in terms of performance and he was a true star next to Eisenberg s character The rest of the cast are all fine including Justin Timberlake that has proved over the years that he can actually act pretty impressively On another note the film might seem very different than Fincher s other films which include pretty much all crime thrillers and a fantasy Benjamin Button but I thought that he was able to leave his mark on the film It certainly took itself seriously which for a film like this is fortunate The cinematography was also very impressive but not showy and very keen on the real focus of the film Ultimately The Social Network is a very hard film to dislike However I also know that it is not the type of easy going fun but forgettable film that many including me expected months ago It is more profound more meaningful but it might not hit a nerve with all viewers including the young that will only want to see the Facebook Movie I think The Social Network has a lot of similarity to last year s Up In The Air Both represent a dilemma about people s communications in the modern world and both can be seen as perfect examples of what life in the 21st century was like The Social Network is about the many connections that we have with others and it makes you feel the longing and loneliness that might come with it It is David Fincher s best to date,
28 July 2020,I'll tell you why this is so re-watchable,Flash Review Editing and Dialog The intelligently written script is machine gunned out at as brisk a rate as the film s pacing echoes the mind of Zuckerberg and the hockey stick growth of Facebook The chronology flows together with perfection and is complimented by Fincher s slick and glossy atmosphere The story is spliced between the startup phase of Facebook and the legal battle between the twins and his co founder Not sure how accurate the portrayal of the characters are but it makes for an entertaining story which could have easily been boring Yet another great Fincher film,9
26 February 2011,Geniality and Arrogance Associated to an Absolute Lack of Ethics and Respect,In the Harvard University in the Fall of 2003 the arrogant nerd Mark Zuckerberg Jesse Eisenberg is an outcast student that shares his room in the Kirkland House with his only friend the Brazilian Eduardo Saverin Andrew Garfield When Mark s girlfriend Erica Albright Rooney Mara breaks with him he blogs infamies about her in his Facematch and breaches the security and hacks the files of the female students of Harvard in a competition of who would be the hottest His blog has 22 000 accesses and Mark is loathed by the students and gets six months of academic probation However he calls the attention of the twin students Cameron and Tyler Winklevoss Armie Hammer and their partner Divya Narendra Max Minghella that are preparing a social network and need a programmer Mark steals their idea and invites Eduardo to be his partner in the social network Facebook Sooner Mark becomes a millionaire betrays Eduardo and faces law suits from his former friend Cameron and Tyler Winklevoss and Divya Narendra The Social Network is the true story of the creation of the Facebook by Mark Zuckerberg who is described as an arrogant unethical outcast douchebag nerd His geniality and arrogance associated to an absolute lack of Ethics and respect makes him an unbearable and despicable character Fortunately I do not have Facebook My vote is seven Title Brazil A Rede Social The Social Network,7
18 January 2022,I deleted my account after watching this film,Straight up I must say that this whole narrative of Mark Zuckerberg inventing facebook just doesn t sit right with me Isn t it a Darpa invention for data mining And Zucks was the innocent face to through up front This all felt like a giant well made ad,8
5 December 2020,The social Network,Excellent movie Jesse Eisenberg mastered the character of Mark Zuckerberg and sympathized with Eduardo Saverin and the directing in the film was excellent and the filming in the film was excellent I recommend watching it,8
1 October 2010,The Social Network,Let s start with the script It s great Written by soon to be best adapted screenplay nominee winner Aaron Sorkin The Social Network s writing is intelligent and demanding on multiple levels most obviously the story is cleverly structured across dual lawsuits but there s an equal amount of sophistication to Sorkin s character work Zuckerberg is never quite capable of maintaining a dialog Eduardo always stops just short of explicating his emotions Those two characters are wonderfully played by inevitable acting award nominees Jesse Eisenberg and Andrew Garfield Eisenberg owns the brisk pace of the film while Garfield brings most of the humanity who anchor a terrific ensemble SAG best ensemble perhaps The film s score is a perfectly atmospheric concoction of electronica from edgy dark horse best original score nominees Trent Reznor and Atticus Ross and it s all united under the name and vision of David Fincher who did not win an Oscar for Fight Club or Zodiac or Benjamin Button All of this is to say two things this is a really great movie from a phenomenal creative team and also there are times when the film feels somewhat calculated for accolades never in the repugnantly safe crowd pleasing middle brow Benjamin Button sense but in the sweetly transparent sense of a kid who did all his chores and is suggesting that he might deserve a cookie You know what Give David Fincher a cookie The Social Network is thoroughly intelligent and engaging as a modern biopic and as an examination of evolving cultural currency and it s also one of my favorite films this year TK 10 1 10,
7 February 2011,Facebook Film: College Theatrics With 2010 Technological Intellect Fails **,I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,4
2 October 2010,"Like The Lead Character, The Social Network Misses The Important Ideas",I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,5
31 July 2023,Facebook has a lot to answer for.,Driven Harvard student Mark Zuckerberg becomes a billionaire by creating Facebook the film looks at its conception it s success and the subsequent controversies and lawsuits that followed This is one very well made polished movie Almost fourteen years on its still sharp polished and slick it still packs a punch The problem I have is that the central character puts me on edge It s not hard to look back to the early years of Facebook and to remember that people went absolutely crazy for it everyone I knew was on there faces from the past present people I didn t even know These days it s there for the sake of nostalgia Facebook has a lot to answer for I actually think it s put a generation backwards when it comes to actual real social interactions an inability to converse and interact in the real world we all know someone who s a keyboard warrior It s interesting as it s a big moment in history Facebook really did change the world and it is Zuckerberg who s ultimately responsible but wow every single character in this film is absolutely loathsome with the possible exception of one of them they re all horrendous and impossible to like relate to what a world we live in Jesse Eisenberg is terrific as Zuckerberg the ultimate DBE dead behind the eyes even now when I watch him interviewed trying not to hurl something at the screen I question whether he s on the same wavelength as a gone else Timberlake and Garfield are both very good in their roles Drunk angry stupid and blogging That sums it all up very well 8 10,8
4 December 2010,An Acceptable Form Of Horror,Maybe I m too old No not maybe I am I saw this characters as aliens of sorts I know they represent today s landscape brrrrr The film as a film is one of the best of David Fincher but the universe it explores gave the chills A world approaching its end fast The youth of the characters made it even more sinister I couldn t detect their soul or any evidence of its existence In a way they represent the worst of the previous generations Roman Emperors or Wall Street Profit is the name of the game and the ideas come out of boredom of longings to get laid Love and friendship loyalty and or honor as obsolete as good manners Jesse Eisenberg is chillingly perfect as the humanoid that started it all or did he Justin Timberlake keeps surprising me Good very good and Andrew Garfield the most recognizable of the characters is a victim of sorts and he ll be destroyed no matter how much money he gets How I wish this was merely a science fiction film,7
9 November 2010,Interesting rather than thrilling,I had heard plenty of positive comments about the Social Network and have finally got around to seeing it I must confess to being slightly disappointed The story follows the founders of Facebook and their rapid rise to fame It is an interesting portrayal of the pressures that come with owning a company that is worth a fortune The tagline to the film is that if you have 500 million friends then you re bound to make enemies along the way The story is really about how success leads to people wanting to share in the success and how it ultimately splits up genuine friendship Overall I found the film well acted well directed and reasonable but not really gripping,4
4 October 2010,120 minutes of patches,I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,5
26 September 2012,"This history of Facebook is exciting--for a awhile. Lots of filler here & great script, great acting.",The Social Network 2010 The rise of Facebook is so sensational in terms of money and culture a movie about it was inevitable and it came early in the game Appropriately Everything is speeded up in this world and who knows why turn might make Facebook the next AOL or Nokia And so it is quite the story I don t think it s such a great movie in movie making terms however and this flies in the face of a lot of critical acclaim Beyond the main story line there are lots of party and social scenes that are meant to display the changing lifestyles of the main characters much of which is openly inaccurate These are prolonged enough to lose their point and after a few of them they lose their initial interest too They are really meant to serve as interesting ways to have dialog about the stellar rise in members and money involved with Facebook Because of course there is no action in a movie like this It s mostly dialog It s about ideas and numbers and watching computer screens We are led through the initial moments of inspiration possible intellectual theft and good luck at the beginning of Zuckerberg s rise But there are only so many aspects to this rise that can hold interest for us It is pinned together through a more recent scene in a well appointed briefing room as a couple of the leading characters give testimony about who really started Facebook Flashbacks fill up the rest of the film What to miss The long and overly filmic rowing scenes part of which were partly scale models actually What not to miss The lead deadpan performance by Jesse Eisenberg and the really moving performance that steals every scene he s in by Andrew Garfield Justin Timberlake is good too and will be a separate draw for some The twins turn out to not be twins quite incredibly a body double was the second twin and the face of the first actor was digitally inserted into the second one Crazy stuff The writing is superb Aaron Sorkin is key here making some of the dialog really virtuosic including the first scene a dialog in a bar between Zuckerberg and his would be never will be girlfriend which took 99 takes all shot with the legendary digital Red camera The filming as such is really good in a functional way and with the experienced Jeff Cronenweth in charge he did minor flicks like Fight Club and the American Girl with the Dragon Tattoo And Cronenweth is one of director s David Fincher s big reasons for success Fincher is a terrific director and you might say he made the most of a story with little real substance But I m not sure that s true I just saw Moneyball a second time last week and it holds up really well even though it generally lacks what you would call action too and was written in part by Aaron Sorkin as well I think Moneyball whatever its defects is a better movie Both movies are about contemporary society and the changing way we use computers and the way people behind the scenes have made this true Facebook is a story we are all destined to be affected by whether you learn of it through the movie or elsewhere Many people are just totally gaga about the crazy amount of money involved the movie clicks The title of the book this was based on is perfect The Accidental Billionaires So true For me though I m like Zuckerberg himself I just don t care about money and so the main draw in scene after scene was missing Judge for yourself,7
